,trustfam,nofriend,placesize,socprof,trustneigh,workab,id_hash,ls,region,wkabint,ymarr,smoke,age,emcc,ysepdiv,agegr,trust,mmarr,marital,unempdur,alcsol,sport,msepdiv,sex,wkabintdur,nociga,englang,eduspec,edu
3124,YES,5,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6288>,MOSTLY SATISFIED,Lodzkie,NO,1994.0,NO,62,,,60-64,MOST PEOPLE CAN BE TRUSTED,3.0,MARRIED,0,NO,YES,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
3125,YES,7,"URBAN 200,000-500,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf62b0>,MOSTLY SATISFIED,Malopolskie,NO,1958.0,NO,77,,,65+,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,YES,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
3126,YES,10,"URBAN 500,000 AND OVER",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf62d8>,MOSTLY SATISFIED,Lodzkie,NO,2000.0,NO,33,,,25-34,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,0,NO,NO,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
3127,NO OPINION,2,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bf6300>,PLEASED,Podkarpackie,NO,1985.0,YES,48,,,45-59,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,4,NO,YES,,1,,20,NONE,"agriculture, forestry, fishing",VOCATIONAL/GRAMMAR
3128,YES,0,"URBAN 100,000-200,000",RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bf6328>,UNHAPPY,Wielkopolskie,"YES, TO EU COUNTRY",1983.0,YES,55,GREAT BRITAIN,,45-59,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,0,YES,NO,,2,LESS THAN 1 YEAR,40,NONE,"agriculture, forestry, fishing",SECONDARY
3129,YES,25,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6350>,PLEASED,Dolnoslaskie,NO,1983.0,YES,46,,,45-59,MOST PEOPLE CAN BE TRUSTED,10.0,MARRIED,0,YES,YES,,1,,15,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
3130,YES,5,"URBAN BELOW 20,000",EMPLOYED IN PUBLIC SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bf6378>,PLEASED,Zachodnio-pomorskie,NO,2004.0,NO,38,,,35-44,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,YES,,2,,-8,NONE,technical science,SECONDARY
3131,YES,10,"URBAN 200,000-500,000",EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf63a0>,MOSTLY SATISFIED,Slaskie,NO,1996.0,YES,40,,,35-44,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,YES,,1,,5,NONE,healthcare,SECONDARY
3132,YES,15,RURAL AREAS,FARMER,YES,NO,<sha256 HASH object @ 0x7f6ca8bf63c8>,MIXED,Mazowieckie,NO,1984.0,YES,45,,,45-59,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,0,NO,YES,,1,,20,PASSIVE,"agriculture, forestry, fishing",VOCATIONAL/GRAMMAR
3133,YES,3,RURAL AREAS,LONG-TERM SICK/DISABLED,NO,NO,<sha256 HASH object @ 0x7f6ca8bf63f0>,MIXED,Swietokrzyskie,NO,2010.0,NO,27,,,25-34,ONE CAN`T BE TOO CAREFUL,6.0,,24,NO,NO,,2,,-8,ACTIVE,computer science,POST-SECONDARY OR HIGHER
3134,YES,10,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6418>,MOSTLY SATISFIED,Slaskie,NO,1973.0,NO,57,,2000.0,45-59,ONE CAN`T BE TOO CAREFUL,10.0,WIDOWED,24,NO,NO,10.0,1,,-8,NONE,technical science,VOCATIONAL/GRAMMAR
3135,YES,10,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6440>,PLEASED,Wielkopolskie,NO,2000.0,NO,60,,,60-64,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,24,NO,YES,,1,,-8,NONE,social sciences,POST-SECONDARY OR HIGHER
3136,YES,1,"URBAN 100,000-200,000",EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6468>,PLEASED,Swietokrzyskie,NO,1982.0,NO,53,,,45-59,ONE CAN`T BE TOO CAREFUL,1.0,MARRIED,-8,NO,NO,,1,,-8,PASSIVE,"agriculture, forestry, fishing",POST-SECONDARY OR HIGHER
3137,YES,10,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6490>,MOSTLY SATISFIED,Podkarpackie,NO,1979.0,YES,51,,2001.0,45-59,ONE CAN`T BE TOO CAREFUL,10.0,WIDOWED,0,NO,YES,4.0,1,,13,NONE,technical science,VOCATIONAL/GRAMMAR
3138,YES,15,"URBAN 20,000-100,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf64b8>,PLEASED,Kujawsko-pomorskie,NO,1973.0,NO,61,,,60-64,MOST PEOPLE CAN BE TRUSTED,9.0,MARRIED,-8,NO,YES,,1,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
3139,NO,10,"URBAN 200,000-500,000",OTHER ECONOMICALLY INACTIVE,NO,NO,<sha256 HASH object @ 0x7f6ca8bf64e0>,PLEASED,Mazowieckie,NO,2000.0,YES,35,,,35-44,ONE CAN`T BE TOO CAREFUL,7.0,MARRIED,0,NO,NO,,2,,20,NONE,technical science,VOCATIONAL/GRAMMAR
3140,YES,20,"URBAN 200,000-500,000",LONG-TERM SICK/DISABLED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6508>,MOSTLY SATISFIED,Slaskie,NO,1964.0,NO,72,,1998.0,65+,MOST PEOPLE CAN BE TRUSTED,3.0,WIDOWED,24,NO,YES,8.0,1,,-8,NONE,no specialisation,SECONDARY
3141,YES,2,"URBAN 500,000 AND OVER",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6530>,PLEASED,Wielkopolskie,NO,1990.0,NO,46,,,45-59,MOST PEOPLE CAN BE TRUSTED,4.0,MARRIED,0,NO,NO,,2,,-8,ACTIVE,"agriculture, forestry, fishing",POST-SECONDARY OR HIGHER
3142,YES,10,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6558>,MOSTLY SATISFIED,Lubelskie,NO,1952.0,NO,82,,2002.0,65+,MOST PEOPLE CAN BE TRUSTED,2.0,WIDOWED,-8,NO,YES,12.0,2,,-8,NONE,not applicable,PRIMARY/NO EDUCATION
3143,YES,10,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6580>,PLEASED,Slaskie,NO,1960.0,NO,72,,1999.0,65+,ONE CAN`T BE TOO CAREFUL,12.0,DE FACTO SEPARATED,24,NO,NO,6.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
3144,YES,5,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf65a8>,PLEASED,Slaskie,NO,1970.0,NO,64,,,60-64,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,24,NO,YES,,2,,-8,NONE,technical science,VOCATIONAL/GRAMMAR
3145,YES,10,"URBAN 100,000-200,000",EMPLOYED IN PRIVATE SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bf65d0>,PLEASED,Mazowieckie,NO,2008.0,YES,26,,,25-34,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,0,NO,YES,,2,,20,ACTIVE,no specialisation,SECONDARY
3146,YES,3,"URBAN 20,000-100,000",EMPLOYED IN PUBLIC SECTOR,NO OPINION,YES,<sha256 HASH object @ 0x7f6ca8bf65f8>,PLEASED,Lubelskie,NO,1989.0,NO,45,,,45-59,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,-8,NO,NO,,2,,-8,ACTIVE,production and processing,POST-SECONDARY OR HIGHER
3147,YES,6,"URBAN 20,000-100,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6620>,DELIGHTED,Zachodnio-pomorskie,NO,2006.0,YES,35,,,35-44,IT`S DIFFICULT TO TELL,9.0,MARRIED,0,NO,NO,,2,,10,ACTIVE,computer science,POST-SECONDARY OR HIGHER
3148,YES,5,"URBAN 100,000-200,000",EMPLOYED IN PUBLIC SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bf6648>,PLEASED,Kujawsko-pomorskie,NO,1990.0,NO,43,,,35-44,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,0,NO,NO,,1,,-8,NONE,production and processing,SECONDARY
3149,YES,12,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6670>,MIXED,Zachodnio-pomorskie,NO,1965.0,NO,64,,1978.0,60-64,ONE CAN`T BE TOO CAREFUL,10.0,WIDOWED,-8,NO,YES,1.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
3150,YES,10,"URBAN BELOW 20,000",OTHER ECONOMICALLY INACTIVE,NO,NO,<sha256 HASH object @ 0x7f6ca8bf6698>,MIXED,Lubelskie,NO,1987.0,YES,47,,,45-59,IT`S DIFFICULT TO TELL,9.0,MARRIED,9,NO,YES,,2,,20,NONE,technical science,VOCATIONAL/GRAMMAR
3151,YES,4,"URBAN 500,000 AND OVER",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf66c0>,PLEASED,Lodzkie,NO,1952.0,NO,79,,,65+,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,24,NO,YES,,1,,-8,NONE,no specialisation,SECONDARY
3152,YES,1,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf66e8>,MOSTLY SATISFIED,Podkarpackie,NO,1954.0,NO,88,,1985.0,65+,IT`S DIFFICULT TO TELL,6.0,WIDOWED,-8,NO,YES,9.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
3153,NO OPINION,20,RURAL AREAS,RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bf6710>,PLEASED,Kujawsko-pomorskie,NO,1964.0,NO,68,,,65+,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,0,NO,YES,,2,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
3154,YES,8,"URBAN BELOW 20,000",RETIRED,NO,NO,<sha256 HASH object @ 0x7f6ca8bf6738>,PLEASED,Dolnoslaskie,NO,1972.0,YES,62,,,60-64,MOST PEOPLE CAN BE TRUSTED,3.0,MARRIED,-8,NO,YES,,1,,10,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
3155,YES,0,"URBAN 100,000-200,000",EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6760>,MOSTLY SATISFIED,Zachodnio-pomorskie,NO,1976.0,YES,57,,,45-59,IT`S DIFFICULT TO TELL,9.0,MARRIED,0,NO,YES,,1,,30,NONE,no specialisation,SECONDARY
3156,YES,4,"URBAN 20,000-100,000",EMPLOYED IN PUBLIC SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8bf6788>,MIXED,Lubelskie,NO,1985.0,YES,49,,,45-59,ONE CAN`T BE TOO CAREFUL,5.0,MARRIED,-8,NO,YES,,2,,20,NONE,technical science,VOCATIONAL/GRAMMAR
3157,YES,10,"URBAN BELOW 20,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf67b0>,MOSTLY SATISFIED,Warminsko-mazurskie,NO,1955.0,NO,77,,2000.0,65+,MOST PEOPLE CAN BE TRUSTED,8.0,WIDOWED,0,NO,YES,10.0,1,,-8,NONE,social sciences,SECONDARY
3158,YES,15,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bf67d8>,PLEASED,Lubuskie,"YES, TO EU COUNTRY",1993.0,YES,44,BELGIUM,,35-44,ONE CAN`T BE TOO CAREFUL,1.0,MARRIED,-8,NO,NO,,2,IT DEPENDS,25,NONE,technical science,VOCATIONAL/GRAMMAR
3159,YES,2,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6800>,PLEASED,Lubelskie,NO,1965.0,NO,69,,,65+,ONE CAN`T BE TOO CAREFUL,5.0,MARRIED,-8,NO,YES,,2,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
3160,YES,3,"URBAN 100,000-200,000",RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bf6828>,PLEASED,Pomorskie,NO,1973.0,NO,63,,,60-64,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,0,NO,NO,,2,,-8,PASSIVE,technical science,SECONDARY
3161,YES,5,"URBAN BELOW 20,000",EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6850>,PLEASED,Zachodnio-pomorskie,NO,1992.0,NO,41,,,35-44,MOST PEOPLE CAN BE TRUSTED,7.0,MARRIED,0,,NO,,2,,-8,NONE,technical science,SECONDARY
3162,YES,8,"URBAN BELOW 20,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6878>,PLEASED,Slaskie,NO,2007.0,YES,27,,,25-34,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,0,NO,NO,,1,,5,ACTIVE,technical science,POST-SECONDARY OR HIGHER
3163,NO OPINION,10,"URBAN 100,000-200,000",EMPLOYED IN PRIVATE SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8bf68a0>,MOSTLY DISSATISFIED,Pomorskie,NO,1988.0,YES,42,,,35-44,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,0,NO,NO,,1,,20,NONE,services for the population and transport services,SECONDARY
3164,NO,10,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8bf68c8>,MIXED,Mazowieckie,"YES, TO EU COUNTRY",1994.0,YES,39,GERMANY,,35-44,MOST PEOPLE CAN BE TRUSTED,8.0,MARRIED,-8,NO,NO,,2,IT DEPENDS,20,NONE,technical science,VOCATIONAL/GRAMMAR
3165,YES,8,RURAL AREAS,LONG-TERM SICK/DISABLED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf68f0>,MIXED,Podkarpackie,NO,1973.0,YES,61,,,60-64,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,-8,NO,YES,,2,,15,NONE,no specialisation,PRIMARY/NO EDUCATION
3166,NO,0,"URBAN BELOW 20,000",UNEMPLOYED,NO,NO,<sha256 HASH object @ 0x7f6ca8bf6918>,MOSTLY SATISFIED,Mazowieckie,NO,1999.0,NO,32,,,25-34,ONE CAN`T BE TOO CAREFUL,5.0,MARRIED,6,NO,NO,,1,,-8,NONE,"agriculture, forestry, fishing",SECONDARY
3167,YES,2,RURAL AREAS,RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bf6940>,PLEASED,Mazowieckie,NO,1972.0,NO,62,,,60-64,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,0,NO,YES,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
3168,YES,15,RURAL AREAS,FARMER,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6968>,PLEASED,Opolskie,NO,1976.0,NO,53,,,45-59,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,0,NO,NO,,1,,-8,NONE,services for the population and transport services,SECONDARY
3169,YES,6,"URBAN 100,000-200,000",RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bf6990>,MOSTLY SATISFIED,Dolnoslaskie,NO,1986.0,NO,61,,,60-64,ONE CAN`T BE TOO CAREFUL,12.0,MARRIED,-8,NO,NO,,1,,-8,NONE,production and processing,SECONDARY
3170,YES,5,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf69b8>,PLEASED,Mazowieckie,NO,1969.0,NO,65,,1993.0,65+,ONE CAN`T BE TOO CAREFUL,12.0,WIDOWED,0,NO,YES,1.0,1,,-8,NONE,technical science,SECONDARY
3171,YES,12,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf69e0>,PLEASED,Opolskie,NO,1978.0,NO,54,,,45-59,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,NO,,1,,-8,NONE,social sciences,POST-SECONDARY OR HIGHER
3172,YES,0,RURAL AREAS,LONG-TERM SICK/DISABLED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6a08>,PLEASED,Mazowieckie,NO,1960.0,NO,76,,1989.0,65+,IT`S DIFFICULT TO TELL,7.0,WIDOWED,0,NO,YES,7.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
3173,YES,20,"URBAN 200,000-500,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6a30>,PLEASED,Zachodnio-pomorskie,NO,1959.0,NO,79,,,65+,ONE CAN`T BE TOO CAREFUL,5.0,MARRIED,0,NO,YES,,2,,-8,NONE,"agriculture, forestry, fishing",POST-SECONDARY OR HIGHER
3174,YES,5,"URBAN BELOW 20,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6a58>,MOSTLY SATISFIED,Podlaskie,NO,1945.0,NO,85,,,65+,ONE CAN`T BE TOO CAREFUL,12.0,MARRIED,-8,NO,YES,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
3175,YES,0,RURAL AREAS,LONG-TERM SICK/DISABLED,NO,NO,<sha256 HASH object @ 0x7f6ca8bf6a80>,MOSTLY DISSATISFIED,Lubuskie,NO,1965.0,NO,71,,1996.0,65+,IT`S DIFFICULT TO TELL,12.0,WIDOWED,-8,NO,YES,10.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
3176,YES,20,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6aa8>,PLEASED,Wielkopolskie,NO,1972.0,NO,62,,,60-64,ONE CAN`T BE TOO CAREFUL,12.0,MARRIED,0,NO,YES,,1,,-8,NONE,production and processing,VOCATIONAL/GRAMMAR
3177,YES,4,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6ad0>,DELIGHTED,Mazowieckie,NO,2009.0,NO,27,,,25-34,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,0,NO,NO,,1,,-8,ACTIVE,economy and administration,POST-SECONDARY OR HIGHER
3178,YES,10,"URBAN 20,000-100,000",EMPLOYED IN PUBLIC SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8bf6af8>,PLEASED,Lubelskie,NO,1999.0,NO,45,,2008.0,45-59,IT`S DIFFICULT TO TELL,4.0,DIVORCED,0,NO,YES,6.0,1,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
3179,YES,6,RURAL AREAS,UNEMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6b20>,MOSTLY SATISFIED,Podkarpackie,NO,1998.0,NO,44,,,35-44,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,0,NO,NO,,1,,-8,PASSIVE,no specialisation,SECONDARY
3180,YES,1,"URBAN 20,000-100,000",RETIRED,NO,NO,<sha256 HASH object @ 0x7f6ca8bf6b48>,MOSTLY SATISFIED,Pomorskie,NO,1972.0,NO,61,,,60-64,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,0,NO,NO,,1,,-8,PASSIVE,services for the population and transport services,SECONDARY
3181,YES,3,"URBAN 500,000 AND OVER",UNEMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6b70>,DELIGHTED,Malopolskie,NO,2003.0,NO,35,,,35-44,MOST PEOPLE CAN BE TRUSTED,4.0,MARRIED,4,NO,YES,,1,,-8,PASSIVE,pedagogics,POST-SECONDARY OR HIGHER
3182,YES,10,RURAL AREAS,FARMER,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6b98>,MOSTLY SATISFIED,Warminsko-mazurskie,NO,1978.0,NO,58,,,45-59,MOST PEOPLE CAN BE TRUSTED,6.0,MARRIED,-8,NO,YES,,2,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
3183,YES,4,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6bc0>,PLEASED,Warminsko-mazurskie,NO,1990.0,NO,36,,,35-44,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,-8,NO,NO,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
3184,YES,6,"URBAN 100,000-200,000",EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6be8>,PLEASED,Swietokrzyskie,"YES, TO EU COUNTRY",1989.0,NO,45,GERMANY,,45-59,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,0,NO,NO,,2,IT DEPENDS,-8,ACTIVE,technical science,SECONDARY
3185,YES,10,RURAL AREAS,UNEMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6c10>,PLEASED,Opolskie,NO,1979.0,YES,53,,,45-59,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,24,NO,YES,,2,,10,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
3186,YES,10,"URBAN 100,000-200,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6c38>,MOSTLY SATISFIED,Slaskie,NO,2006.0,YES,28,,,25-34,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,0,NO,YES,,2,,14,PASSIVE,computer science,SECONDARY
3187,YES,4,"URBAN 500,000 AND OVER",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6c60>,MOSTLY SATISFIED,Lodzkie,NO,1963.0,YES,69,,,65+,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,24,,YES,,2,,20,NONE,no specialisation,PRIMARY/NO EDUCATION
3188,YES,3,"URBAN BELOW 20,000",SELF-EMPLOYED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bf6c88>,PLEASED,Lodzkie,NO,1979.0,YES,53,,,45-59,ONE CAN`T BE TOO CAREFUL,2.0,MARRIED,-8,NO,YES,,1,,2,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
3189,YES,2,"URBAN BELOW 20,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6cb0>,MOSTLY SATISFIED,Dolnoslaskie,NO,1972.0,YES,64,,,60-64,ONE CAN`T BE TOO CAREFUL,7.0,MARRIED,24,NO,YES,,2,,20,NONE,technical science,VOCATIONAL/GRAMMAR
3190,YES,7,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6cd8>,PLEASED,Mazowieckie,NO,1976.0,NO,56,,,45-59,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,0,NO,YES,,1,,-8,PASSIVE,no specialisation,SECONDARY
3191,YES,4,"URBAN BELOW 20,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6d00>,MIXED,Mazowieckie,NO,1962.0,NO,73,,,65+,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,YES,,2,,-8,NONE,technical science,SECONDARY
3192,YES,4,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6d28>,MOSTLY SATISFIED,Zachodnio-pomorskie,NO,1968.0,NO,68,,,65+,ONE CAN`T BE TOO CAREFUL,3.0,MARRIED,-8,NO,YES,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
3193,YES,10,RURAL AREAS,UNEMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6d50>,PLEASED,Podkarpackie,NO,1997.0,NO,37,,,35-44,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,24,NO,NO,,1,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
3194,YES,10,"URBAN BELOW 20,000",EMPLOYED IN PRIVATE SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8bf6d78>,MOSTLY SATISFIED,Swietokrzyskie,NO,2002.0,NO,30,,,25-34,ONE CAN`T BE TOO CAREFUL,7.0,MARRIED,-8,NO,YES,,1,,-8,NONE,production and processing,POST-SECONDARY OR HIGHER
3195,NO OPINION,10,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6da0>,MOSTLY SATISFIED,Wielkopolskie,NO,1973.0,NO,65,,,65+,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,-8,NO,NO,,2,,-8,NONE,technical science,VOCATIONAL/GRAMMAR
3196,YES,2,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bf6dc8>,PLEASED,Slaskie,NO,1998.0,NO,35,,,35-44,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,0,NO,NO,,1,,-8,PASSIVE,production and processing,SECONDARY
3197,YES,0,"URBAN BELOW 20,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6df0>,MIXED,Wielkopolskie,NO,2000.0,NO,32,,,25-34,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,-8,NO,YES,,1,,-8,NONE,"agriculture, forestry, fishing",SECONDARY
3198,YES,10,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6e18>,PLEASED,Podkarpackie,NO,1966.0,NO,72,,,65+,MOST PEOPLE CAN BE TRUSTED,5.0,MARRIED,-8,NO,YES,,2,,-8,NONE,technical science,SECONDARY
3199,YES,1,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6e40>,PLEASED,Warminsko-mazurskie,NO,1956.0,NO,78,,,65+,MOST PEOPLE CAN BE TRUSTED,1.0,MARRIED,0,NO,YES,,2,,-8,NONE,not applicable,PRIMARY/NO EDUCATION
3200,YES,6,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6e68>,PLEASED,Podlaskie,NO,1971.0,NO,64,,,60-64,ONE CAN`T BE TOO CAREFUL,12.0,MARRIED,24,NO,YES,,1,,-8,NONE,"agriculture, forestry, fishing",VOCATIONAL/GRAMMAR
3201,YES,20,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6e90>,PLEASED,Warminsko-mazurskie,NO,1996.0,NO,75,,2008.0,65+,ONE CAN`T BE TOO CAREFUL,9.0,WIDOWED,0,NO,YES,7.0,2,,-8,,technical science,SECONDARY
3202,YES,5,"URBAN 20,000-100,000",EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bf6eb8>,MOSTLY SATISFIED,Lubelskie,"YES, TO EU COUNTRY",1995.0,YES,35,NORWAY,2009.0,35-44,ONE CAN`T BE TOO CAREFUL,,DIVORCED,-8,NO,YES,6.0,1,IT DEPENDS,20,ACTIVE,social welfare,POST-SECONDARY OR HIGHER
